City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Kaeo,NZ,-35.1,173.7833,62.33,97,100,10.87,overcast clouds
244,Patrasaer,IN,23.2167,87.5167,71.02,55,0,5.01,clear sky
245,Evanston,US,42.0411,-87.6901,71.38,55,40,17.27,scattered clouds
246,Myitkyina,MM,25.3833,97.4,64.4,80,2,2.1,clear sky
247,Berlevag,NO,70.8578,29.0864,33.8,86,0,4.61,clear sky
248,Honningsvag,NO,70.9821,25.9704,35.35,75,75,9.22,light snow
249,Bagotville,AU,-28.9833,153.4167,58.86,91,36,4.14,scattered clouds
250,Kruisfontein,ZA,-34.0033,24.7314,60.89,67,100,16.71,overcast clouds
251,Yulara,AU,-25.2406,130.9889,83.34,31,87,13.04,overcast clouds
252,Realeza,BR,-25.7689,-53.5325,84.69,43,98,1.83,overcast clouds
253,Hasaki,JP,35.7333,140.8333,55.22,57,6,15.1,clear sky
254,Fereydun Kenar,IR,36.6864,52.5225,57.42,77,40,0.0,scattered clouds
255,Adre,TD,13.4667,22.2,81.57,19,3,4.25,clear sky
256,Diffa,NE,13.3154,12.6113,88.21,14,98,10.25,overcast clouds
257,Kichera,RU,55.9375,110.0997,14.76,95,96,1.03,light snow
258,Honiara,SB,-9.4333,159.95,77.38,89,100,2.98,heavy intensity rain
259,Taiyuan,CN,37.8694,112.5603,53.46,54,62,15.66,haze
260,Borba,BR,-4.3878,-59.5939,97.66,34,92,5.59,overcast clouds
261,Airai,TL,-8.9266,125.4092,61.79,90,46,0.83,scattered clouds
262,Sibolga,ID,1.7427,98.7792,75.15,97,100,1.92,overcast clouds
263,San Pedro,PH,14.35,121.0167,78.26,93,100,4.61,overcast clouds
264,Skibbereen,IE,51.55,-9.2667,58.1,89,82,26.42,broken clouds
265,Pochutla,MX,15.7432,-96.4661,84.81,60,0,3.62,clear sky
266,Novyy Urengoy,RU,66.0833,76.6333,2.48,87,100,8.01,overcast clouds
267,Dhidhdhoo,MV,6.8833,73.1,81.9,71,96,4.61,overcast clouds
268,Pacific Grove,US,36.6177,-121.9166,49.42,89,0,8.01,clear sky
269,Kasamwa,TZ,-2.85,32.4333,71.01,72,80,6.02,light rain
270,Maxixe,MZ,-23.8597,35.3472,80.42,78,75,11.5,broken clouds
271,Si Bun Ruang,TH,16.9667,102.2833,71.58,79,67,3.2,broken clouds
272,Katherine,AU,-14.4667,132.2667,77.32,88,75,9.22,moderate rain
273,Soyo,AO,-6.1349,12.3689,80.17,72,82,10.16,broken clouds
274,Oneonta,US,42.4529,-75.0638,63.28,65,6,9.44,clear sky
275,Quang Ngai,VN,15.1167,108.8,74.12,93,16,4.12,few clouds
276,Eureka,US,40.8021,-124.1637,42.75,97,6,4.41,clear sky
277,Ust-Tsilma,RU,65.441,52.1498,32.32,98,100,6.91,light snow
278,Padang,ID,-0.9492,100.3543,75.25,90,100,4.12,overcast clouds
279,Narsaq,GL,60.9167,-46.05,30.42,94,100,1.1,light snow
280,Harper,LR,4.375,-7.7169,81.82,72,37,7.36,scattered clouds
281,Mitzic,GA,0.7821,11.549,69.39,98,100,4.63,light rain
282,Staunton,US,38.1496,-79.0717,60.66,75,40,1.01,scattered clouds
283,Okha,RU,53.5739,142.9478,24.53,61,100,16.55,overcast clouds
284,Faanui,PF,-16.4833,-151.75,77.9,80,92,9.69,light rain
285,Kununurra,AU,-15.7667,128.7333,80.58,78,55,4.61,broken clouds
286,Mackay,AU,-21.15,149.2,65.68,69,20,9.86,few clouds
287,Vicksburg,US,32.3526,-90.8779,66.43,59,0,5.75,clear sky
288,Geilo,NO,60.5333,8.2076,45.46,91,100,8.48,overcast clouds
289,Nowa Sol,PL,51.8033,15.717,52.99,76,71,6.8,broken clouds
290,Dunedin,NZ,-45.8742,170.5036,48.79,86,10,8.01,clear sky
291,Moyo,UG,3.6609,31.7247,67.35,92,100,3.09,light rain
292,Batagay-Alyta,RU,67.8006,130.4114,-20.4,90,86,3.27,overcast clouds
293,Eregli,TR,37.5133,34.0467,51.62,55,18,2.28,few clouds
294,Ayagoz,KZ,47.9714,80.4392,24.96,95,100,4.21,overcast clouds
295,Chanika,TZ,-5.4167,38.0167,73.2,76,87,10.56,overcast clouds
296,Port Lincoln,AU,-34.7333,135.8667,56.88,78,34,5.26,scattered clouds
297,Carutapera,BR,-1.195,-46.02,87.17,56,43,8.59,scattered clouds
298,Chuy,UY,-33.6971,-53.4616,72.64,54,36,10.94,scattered clouds
299,Tromso,NO,69.6496,18.957,32.02,69,0,10.36,clear sky
